mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_subsample;param_objective;param_n_estimators;param_min_child_weight;param_max_depth;param_learning_rate;param_colsample_bytree;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;mean_test_score;std_test_score;rank_test_score
1.583;0.039;0.014;0.002;0.8;reg:squarederror;100;5;3;0.05;0.5;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.5};0.004;0.009;0.006;0.010;0.007;0.002;1
1.932;0.096;0.013;0.001;0.7;reg:squarederror;100;10;3;0.05;0.7;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.7};0.004;0.006;0.009;0.010;0.007;0.002;2
1.619;0.046;0.010;0.002;0.7;reg:squarederror;100;5;3;0.05;0.5;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.5};0.003;0.008;0.004;0.011;0.006;0.003;3
1.405;0.127;0.014;0.003;0.7;reg:squarederror;100;5;5;0.05;0.25;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.25};-0.001;0.016;0.004;0.006;0.006;0.006;4
1.126;0.034;0.011;0.003;0.5;reg:squarederror;100;3;3;0.05;0.5;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.5};0.002;0.011;-0.003;0.011;0.005;0.006;5
5.410;0.073;0.030;0.003;0.7;reg:squarederror;200;10;7;0.01;0.5;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 0.5};-0.002;0.005;-0.002;0.015;0.004;0.007;6
4.997;0.132;0.036;0.009;0.5;reg:squarederror;200;10;7;0.01;0.5;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 7, 'learning_rate': 0.01, 'colsample_bytree': 0.5};-0.001;0.005;-0.001;0.013;0.004;0.006;7
3.164;0.017;0.015;0.003;0.7;reg:squarederror;200;3;3;0.01;0.5;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.5};0.001;0.003;-0.001;0.013;0.004;0.006;8
2.867;0.134;0.022;0.003;0.7;reg:squarederror;200;10;5;0.01;0.25;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.25};-0.002;0.004;0.000;0.013;0.004;0.006;9
4.328;0.111;0.021;0.004;0.8;reg:squarederror;200;10;5;0.01;0.5;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.5};-0.001;0.002;0.000;0.015;0.004;0.006;10
1.706;0.061;0.012;0.002;1.0;reg:squarederror;100;10;3;0.05;0.5;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 0.5};-0.003;0.008;0.002;0.009;0.004;0.005;11
2.430;0.234;0.022;0.003;0.5;reg:squarederror;200;10;3;0.01;0.25;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.25};0.000;0.004;-0.000;0.012;0.004;0.005;12
2.197;0.052;0.014;0.004;0.5;reg:squarederror;100;10;3;0.05;1.0;{'subsample': 0.5, 'objective': 'reg:squarederror', 'n_estimators': 100, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.05, 'colsample_bytree': 1.0};0.001;0.008;-0.000;0.005;0.003;0.003;13
2.904;0.071;0.021;0.003;0.8;reg:squarederror;200;5;5;0.01;0.25;{'subsample': 0.8, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.25};-0.005;0.003;-0.000;0.014;0.003;0.007;14
3.423;0.066;0.015;0.002;0.7;reg:squarederror;200;3;3;0.01;0.7;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.7};-0.001;0.004;-0.003;0.013;0.003;0.006;15
5.253;0.100;0.022;0.002;0.7;reg:squarederror;200;3;5;0.01;0.7;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.01, 'colsample_bytree': 0.7};-0.004;0.003;-0.002;0.015;0.003;0.007;16
6.663;0.104;0.052;0.014;0.7;reg:squarederror;200;5;9;0.01;0.5;{'subsample': 0.7, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 9, 'learning_rate': 0.01, 'colsample_bytree': 0.5};-0.006;0.006;-0.002;0.014;0.003;0.008;17
3.159;0.036;0.017;0.001;1.0;reg:squarederror;200;10;3;0.01;0.5;{'subsample': 1.0, 'objective': 'reg:squarederror', 'n_estimators': 200, 'min_child_weight': 10, 'max_depth': 3, 'learning_rate': 0.01, 'colsample_bytree': 0.5};-0.002;0.002;-0.001;0.014;0.003;0.007;18
